AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,CommunityDistrict,CensusTract2010,NTA,CityCouncilDistrict,CongressionalDistrict,StateSenatorialDistrict,LicenseIssuedDate,LicenseExpiredDate
COAL,M,3/1/2012 0:00,Unknown,Manhattan,10009,103,2602,MN28,2,12,27,3/31/2016,5/20/2017
IRVING,M,1/1/2016 0:00,Shih Tzu Crossbreed,Manhattan,10005,101,7,MN25,1,10,26,9/15/2016,9/15/2017
SAMMY,M,2/1/2010 0:00,Unknown,Brooklyn,11215,306,149,BK37,39,9,21,9/19/2015,10/26/2016
SAMMY,M,11/1/2004 0:00,Shih Tzu,Manhattan,10032,112,261,MN36,10,13,31,4/25/2016,6/8/2017
MURPHY,M,4/1/2009 0:00,Beagle Crossbreed,Queens,11364,411,140901,QN46,20,6,11,3/22/2016,4/30/2017
MARIO,M,5/1/2013 0:00,Unknown,Brooklyn,11222,301,565,BK76,33,12,26,8/30/2015,7/1/2016
MONKEY,M,6/1/2013 0:00,American Staffordshire Terrier ,Brooklyn,11215,307,145,BK32,38,7,21,3/19/2015,3/19/2016
FOXY,F,12/1/2006 0:00,Shiba Inu,Brooklyn,11214,311,180,BK27,43,11,22,4/6/2016,4/29/2017
BROWNIE,M,9/1/2009 0:00,Pomeranian,Bronx,10452,204,209,BX63,14,15,29,4/7/2015,1/4/2016
OAKLEY,F,8/1/2014 0:00,Cocker Spaniel,Manhattan,10128,108,15601,MN32,5,12,29,6/18/2015,6/18/2016
LOGAN,M,8/1/1999 0:00,Shih Tzu,Queens,11375,406,739,QN17,29,6,16,12/9/2015,12/30/2016
DIEGO,M,10/1/2005 0:00,Maltese,Staten Island,10301,501,75,SI35,49,11,23,10/11/2015,4/19/2016
CHICA,F,2/1/2009 0:00,Yorkshire Terrier,Manhattan,10001,105,101,MN17,3,12,27,9/1/2016,8/27/2017
COCO,F,1/1/2014 0:00,"Shar-Pei, Chinese",Manhattan,10024,107,161,MN12,6,10,29,2/28/2016,4/11/2018
BABS,F,4/1/2014 0:00,German Shepherd Crossbreed,Manhattan,10024,107,167,MN12,6,10,29,7/10/2015,7/10/2016
SOFIE,F,6/1/2008 0:00,Labradoodle,Manhattan,10013,101,39,MN24,1,10,26,5/15/2015,5/26/2016
NAME NOT PROVIDED,F,10/1/2014 0:00,Maltese,Bronx,10455,201,79,BX34,17,15,32,1/29/2015,1/29/2016
CHICA ,F,1/1/1999 0:00,Yorkshire Terrier,Bronx,10467,212,376,BX44,15,16,36,3/19/2015,3/30/2016
ANGUS ,M,4/1/2014 0:00,"Bull Dog, English",Queens,11101,402,7,QN31,26,12,12,8/9/2016,7/14/2017
BENNY,M,2/1/2013 0:00,Brittany Spaniel,Manhattan,10009,106,44,MN50,4,12,27,1/15/2016,1/15/2017
LUIS ,M,5/1/2009 0:00,American Pit Bull Terrier/Pit Bull,Bronx,10460,209,21601,BX08,18,15,32,8/13/2016,8/13/2017
GENERAL ,M,10/1/2012 0:00,German Shepherd Crossbreed,Brooklyn,11221,303,267,BK75,36,8,25,12/25/2015,1/15/2017
NEWTON,M,5/1/2012 0:00,Collie Crossbreed,Manhattan,10009,103,2601,MN28,2,12,26,8/24/2015,9/14/2017
BIBI ,F,1/1/2006 0:00,Golden Retriever,Brooklyn,11218,312,500,BK40,39,9,21,7/5/2016,7/30/2017
GEORGIE ,M,1/1/2003 0:00,Tibetan Terrier,Bronx,10471,208,30701,BX22,11,16,34,9/16/2015,9/29/2016
POOCHIE,M,7/1/2009 0:00,Maltese,Brooklyn,11237,304,435,BK77,37,7,18,11/7/2016,11/6/2017
PEPPA ,F,11/1/2010 0:00,Unknown,Bronx,10469,211,324,BX07,13,14,34,3/6/2015,2/3/2016
JEB,M,8/1/2012 0:00,Labrador Retriever,Staten Island,10305,502,70,SI36,50,11,23,7/20/2015,8/5/2016
MAYA,F,2/1/2016 0:00,Labrador Retriever Crossbreed,Queens,11370,403,337,QN28,25,14,13,5/8/2016,5/8/2017
GAGE,M,7/1/2015 0:00,Siberian Husky Crossbreed,Brooklyn,11233,316,363,BK79,41,9,25,8/10/2016,8/10/2017
NAME NOT PROVIDED,F,2/1/2015 0:00,Maltese,Manhattan,10010,106,66,MN20,2,12,28,5/14/2015,5/14/2016
PEBBLES ,F,12/1/2014 0:00,Yorkshire Terrier,Manhattan,10011,104,81,MN13,3,12,27,3/4/2016,3/17/2018
CHANCE ,M,8/1/2006 0:00,Shih Tzu,Manhattan,10039,110,234,MN03,9,13,30,11/8/2015,10/28/2016
OREO,M,12/1/2008 0:00,Beagle Crossbreed,Manhattan,10023,107,149,MN14,6,10,27,4/3/2015,4/12/2016
GROVER,M,5/1/2012 0:00,"Poodle, Toy",Brooklyn,11215,306,167,BK37,39,9,21,3/17/2015,3/17/2016
PRINCESA,F,1/1/2000 0:00,Chihuahua,Manhattan,10108,NA,NULL,NULL,NA,NA,NA,5/5/2015,1/30/2016
TOFFEE ,M,5/1/2013 0:00,Yorkshire Terrier,Queens,11375,406,739,QN17,29,6,15,12/29/2016,1/23/2018
TIGGER,M,3/1/2007 0:00,Lhasa Apso,Queens,11365,408,122701,QN38,24,6,16,6/21/2016,7/18/2017
DELILAH,F,9/1/2016 0:00,Yorkshire Terrier,Manhattan,10009,106,44,MN50,4,12,27,11/11/2016,11/11/2017
BABY ,F,1/1/2016 0:00,Alaskan Malamute,Queens,11101,401,31,QN68,26,12,12,11/1/2016,11/1/2017
LEXY,F,6/1/2007 0:00,Yorkshire Terrier,Staten Island,10314,502,27702,SI24,51,11,24,9/22/2014,9/4/2019
SONIA,F,7/1/2015 0:00,Beagle Crossbreed,Brooklyn,11211,301,501,BK90,34,12,18,8/23/2016,10/25/2017
BELLA,F,9/1/2010 0:00,Pug,Manhattan,10128,108,16001,MN40,4,12,29,4/8/2016,5/11/2017
ROCKY,M,3/1/2014 0:00,German Shepherd Dog,Bronx,10465,210,160,BX52,13,14,34,6/13/2016,6/13/2017
DORA,F,1/1/2002 0:00,Yorkshire Terrier,Queens,11417,410,112,QN54,32,5,15,10/4/2016,10/4/2017
WILLIS,M,5/1/2009 0:00,American Pit Bull Terrier/Pit Bull,Queens,11361,411,1097,QN46,19,6,11,9/13/2015,9/13/2016
SYDNEY ,F,1/1/2012 0:00,Shih Tzu,Manhattan,10034,112,307,MN01,10,13,31,5/23/2016,5/23/2017
UNKNOWN,M,4/1/2016 0:00,Yorkshire Terrier Crossbreed,Queens,11358,407,1191,QN52,20,6,16,8/14/2016,8/14/2017
PETUNIA,F,8/1/2009 0:00,"Schnauzer, Miniature",Manhattan,10011,104,81,MN13,3,12,27,7/22/2016,9/10/2019
KING ,M,1/1/2014 0:00,American Pit Bull Terrier/Pit Bull,Brooklyn,11226,317,828,BK95,45,9,21,4/8/2015,4/8/2016
SAMMY,M,10/1/2014 0:00,Havanese,Manhattan,10012,102,49,MN24,3,10,26,12/16/2015,1/12/2017
CHEWY,M,8/1/2012 0:00,Chihuahua,Staten Island,10309,503,226,SI11,51,11,24,11/14/2016,12/19/2017
CECE ,F,2/1/2007 0:00,Shih Tzu,Brooklyn,11234,318,682,BK58,46,8,19,8/9/2016,7/31/2017
UNKNOWN,F,10/1/2015 0:00,German Shepherd Crossbreed,Manhattan,10016,NA,NULL,NULL,NA,NA,NA,2/24/2016,2/24/2017
BODHI,F,11/1/2015 0:00,Parson Russell Terrier,Brooklyn,11249,301,555,BK73,33,12,26,5/19/2016,5/19/2017
OLIVER,M,3/1/2009 0:00,Cocker Spaniel,Queens,11101,402,19,QN31,26,12,12,12/18/2015,1/21/2018
ZIGGY ,M,12/1/2014 0:00,Border Collie,Queens,11377,402,243,QN50,30,14,15,4/17/2016,3/10/2018
DULCINEA,F,2/1/2013 0:00,Italian Greyhound,Manhattan,10023,107,157,MN14,6,10,27,11/3/2016,11/3/2017
WINSTON,M,6/1/2016 0:00,Poodle Crossbreed,Manhattan,10021,108,126,MN31,5,12,28,10/1/2016,10/1/2017
SUNSHINE,F,3/1/2015 0:00,Golden Retriever,Manhattan,10028,108,136,MN32,5,12,28,7/15/2016,6/30/2017
SPUTNIK,M,3/1/2005 0:00,Havanese,Brooklyn,11238,308,203,BK64,35,8,25,2/23/2016,3/16/2017
