"RowNumber","AnimalName","AnimalGender","AnimalBirthMonth","BreedName","Borough","ZipCode","CommunityDistrict","CensusTract2010","NTA","CityCouncilDistrict","CongressionalDistrict","StateSenatorialDistrict","LicenseIssuedDate","LicenseExpiredDate"
1327,"ULRICH","M","11/1/2003 0:00","Dachshund, Long Haired","Manhattan",10128,108,"14402","MN32",5,12,28,"12/16/2014","2/12/2016"
110607,"EMMA","F","9/1/2010 0:00","Unknown","Manhattan",10028,108,"14401","MN32",5,12,28,"10/23/2016","10/25/2017"
42735,"ODILEE ","F","1/1/2001 0:00","Unknown","Manhattan",10025,109,"199","MN09",7,10,31,"12/10/2015","1/30/2017"
43740,"SNOOPY","M","1/1/2006 0:00","Yorkshire Terrier","Manhattan",10030,110,"259","MN03",9,13,30,"12/17/2015","1/30/2017"
112900,"RAMONA ","F","9/1/2014 0:00","Cocker Spaniel","Bronx",10471,208,"309","BX22",11,16,34,"11/4/2016","12/13/2017"
64721,"SAMUEL ","M","12/1/2005 0:00","Cavalier King Charles Spaniel","Brooklyn",11209,310,"66","BK31",43,11,22,"4/10/2016","5/6/2018"
16842,"PENNY","F","5/1/2012 0:00","American Pit Bull Mix / Pit Bull Mix","Manhattan",10038,101,"1501","MN25",1,10,26,"5/11/2015","5/11/2020"
35529,"PEANELOPEA","F","7/1/2015 0:00","American Pit Bull Mix / Pit Bull Mix","Manhattan",10031,109,"225","MN04",7,13,31,"10/8/2015","10/8/2016"
41403,"RILEY ","F","1/1/2009 0:00","Havanese","Manhattan",10010,106,"60","MN50",4,12,27,"11/30/2015","1/7/2021"
107527,"DRUMMOND","M","7/1/2016 0:00","Maltese Crossbreed","Brooklyn",11210,317,"780","BK91",45,9,21,"10/8/2016","10/8/2017"
81900,"TARA","F","1/1/2004 0:00","German Shepherd Crossbreed","Queens",11385,405,"635","QN19",30,6,15,"6/21/2016","5/16/2017"
12862,"MARGOT","F","7/1/2010 0:00","Poodle, Miniature","Manhattan",10002,103,"16","MN27",1,7,26,"4/15/2015","5/8/2016"
85923,"ROSCOE ","M","1/1/2007 0:00","Shiba Inu","Queens",11414,410,"892","QN57",32,8,15,"7/8/2016","8/30/2017"
70944,"MONKEY","M","2/1/2005 0:00","Cavalier King Charles Spaniel","Manhattan",10011,104,"93","MN13",3,10,27,"5/7/2016","5/7/2017"
39193,"SASHA","F","10/1/2012 0:00","Schnauzer, Miniature","Brooklyn",11201,302,"501","BK09",33,7,26,"11/10/2015","10/19/2016"
68022,"BELLA","F","2/1/2014 0:00","Unknown","Manhattan",10002,103,"3601","MN27",1,7,26,"4/25/2016","7/30/2016"
48831,"FRESH","M","8/1/2007 0:00","Chihuahua","Bronx",10457,206,"371","BX17",17,15,33,"1/22/2016","2/3/2021"
14329,"GRINGO","M","4/1/2012 0:00","American Pit Bull Terrier/Pit Bull","Bronx",10472,209,"52","BX55",17,15,32,"4/23/2015","4/23/2016"
87332,"SNOWWHITE","F","1/1/2009 0:00","German Shepherd Crossbreed","Bronx",10469,212,"358","BX03",12,16,36,"7/13/2016","8/4/2017"
4667,"SIMBA","F","3/1/2014 0:00","Chow Chow","Queens",11432,408,"454","QN35",24,6,14,"2/1/2015","2/1/2016"
84894,"MADDIE","F","10/1/2012 0:00","Unknown","Queens",11102,401,"73","QN71",22,12,12,"7/4/2016","5/15/2017"
89575,"LOUIE","M","4/1/2016 0:00","Boxer","Brooklyn",11231,306,"77","BK33",39,7,25,"7/21/2016","7/21/2018"
