"RowNumber","AnimalName","AnimalGender","AnimalBirthMonth","BreedName","Borough","ZipCode","CommunityDistrict","CensusTract2010","NTA","CityCouncilDistrict","CongressionalDistrict","StateSenatorialDistrict","LicenseIssuedDate","LicenseExpiredDate"
79186,"TINY","F","1/1/2005 0:00","Miniature Pinscher","Brooklyn",11229,315,"632","BK17",46,9,22,"6/10/2016","6/29/2017"
20889,"MILO","M","9/1/2008 0:00","Jack Russell Terrier","Brooklyn",11208,305,"1194","BK82",42,8,19,"6/12/2015","6/3/2016"
27214,"RUBY ","F","1/1/2001 0:00","Maltese","Brooklyn",11228,310,"200","BK30",43,11,22,"7/31/2015","7/30/2016"
39031,"MONYA","M","1/1/2009 0:00","Yorkshire Terrier","Staten Island",10305,501,"8","SI37",49,11,23,"11/9/2015","12/1/2016"
12477,"BELLA","F","10/1/2011 0:00","Unknown","Brooklyn",11215,306,"157","BK37",39,9,21,"4/11/2015","12/21/2017"
47230,"TOBY","M","7/1/2010 0:00","Puggle","Brooklyn",11220,310,"22","BK32",38,10,23,"1/13/2016","1/27/2017"
117406,"POLLY","F","2/1/2016 0:00","Chihuahua","Bronx",10451,204,"5902","BX14",17,15,29,"12/2/2016","12/2/2017"
87915,"BIZZY","F","7/1/2007 0:00","Pug","Brooklyn",11211,301,"513","BK73",34,12,18,"7/15/2016","6/20/2017"
86115,"JENNIFER","F","4/1/2015 0:00","Terrier mix","Bronx",10456,203,"135","BX35",16,15,32,"7/10/2016","7/10/2017"
32660,"SCOOBY ","M","1/1/2002 0:00","Beagle","Brooklyn",11218,314,"1522","BK42",40,9,17,"9/11/2015","5/30/2018"
73691,"SIDNEY ","M","8/1/2006 0:00","Shih Tzu","Manhattan",10009,106,"44","MN50",4,12,27,"5/17/2016","6/30/2018"
29306,"Z-WILLOW","F","2/1/2014 0:00","Belgian Malinois","Queens",11415,409,"134","QN60",29,6,14,"8/14/2015","8/14/2016"
83756,"CODEE ","M","1/1/2006 0:00","Yorkshire Terrier","Queens",11357,NA,"NULL","NULL",NA,NA,NA,"6/29/2016","8/30/2017"
69376,"KIYA","F","12/1/2015 0:00","Shih Tzu Crossbreed","Queens",11364,411,"129104","QN42",23,6,11,"4/30/2016","4/30/2017"
41980,"CHESTER","M","10/1/2009 0:00","Cairn Terrier","Brooklyn",11233,303,"275","BK35",36,8,25,"12/4/2015","12/29/2016"
89597,"CARAMEL ","F","3/1/2016 0:00","Poodle","Bronx",10455,201,"79","BX34",8,15,29,"7/21/2016","7/21/2017"
117107,"RICHIE","M","9/1/2010 0:00","Chihuahua","Manhattan",10006,101,"13","MN25",1,10,26,"11/30/2016","11/27/2018"
101715,"SAMMY ","M","5/1/2015 0:00","American Bully","Staten Island",10314,501,"251","SI28",50,11,24,"9/13/2016","8/16/2017"
60747,"GERTIE ","F","1/1/2006 0:00","Unknown","Queens",11102,401,"71","QN71",22,12,12,"3/23/2016","4/29/2017"
20431,"SADIE","F","7/1/2013 0:00","Australian Kelpie","Bronx",10471,208,"337","BX22",11,16,34,"6/9/2015","6/9/2020"
20355,"BUGG ","M","1/1/2008 0:00","American Pit Bull Mix / Pit Bull Mix","Manhattan",10128,108,"152","MN32",5,12,29,"6/8/2015","6/8/2016"
82716,"BABY","M","6/1/2015 0:00","Terrier Crossbreed","Queens",11434,412,"33401","QN08",27,5,10,"6/24/2016","6/24/2017"
38846,"NAME NOT PROVIDED","M","8/1/2015 0:00","French Bulldog","Queens",11375,406,"71305","QN17",29,6,16,"11/7/2015","11/7/2016"
23504,"ROSIE","F","5/1/2006 0:00","Golden Retriever","Bronx",10471,208,"323","BX22",11,16,34,"7/1/2015","7/14/2016"
51636,"MISIU","M","10/1/2011 0:00","Unknown","Brooklyn",11201,302,"15","BK38",35,8,25,"2/6/2016","7/11/2020"
50069,"ROCCO ","M","7/1/2004 0:00","Yorkshire Terrier","Queens",11357,407,"1033","QN49",19,3,11,"1/29/2016","2/28/2017"
38135,"REESES","M","8/1/2009 0:00","Bull Dog, French","Brooklyn",11223,311,"408","BK29",47,10,22,"10/31/2015","11/11/2019"
53247,"PENNY ","F","10/1/2015 0:00","Boston Terrier","Queens",11368,403,"409","QN26",21,14,13,"2/16/2016","2/16/2017"
119761,"CHIQUITA","F","5/1/2016 0:00","Cocker Spaniel Crossbreed","Brooklyn",11231,306,"77","BK33",39,7,25,"12/15/2016","12/15/2017"
103276,"LEXIE ","F","7/1/2006 0:00","Shih Tzu","QUEENS",11362,411,"152902","QN45",23,3,11,"9/19/2016","10/31/2017"
86665,"SCRUFFY","M","1/1/2002 0:00","Yorkshire Terrier","Staten Island",10309,503,"20801","SI32",51,11,24,"7/12/2016","3/31/2017"
64594,"CAMERON","M","2/1/2016 0:00","French Bulldog","Manhattan",10023,107,"151","MN14",6,10,31,"4/10/2016","4/10/2018"
44236,"NYLO","M","9/1/2014 0:00","Maltese Crossbreed","Manhattan",10002,103,"1002","MN28",2,7,26,"12/21/2015","12/16/2016"
2438,"SANDY ","F","7/1/2013 0:00","Catahoula Leopard Dog","Manhattan",10128,108,"154","MN32",5,12,28,"1/7/2015","1/7/2016"
116439,"NALLA ","F","1/1/2003 0:00","Labrador Retriever","Bronx",10458,207,"415","BX05",11,13,36,"11/25/2016","9/29/2017"
100498,"MOLLY","F","1/1/2006 0:00","Yorkshire Terrier","Manhattan",10029,111,"166","MN33",5,13,30,"9/7/2016","9/29/2017"
7274,"NICO","M","2/1/2010 0:00","Unknown","Manhattan",10025,107,"193","MN09",7,13,30,"2/26/2015","3/16/2016"
83873,"SKYLA ","F","1/1/2009 0:00","Unknown","Brooklyn",11201,302,"23","BK38",35,8,25,"6/29/2016","3/1/2017"
97073,"HALEY","F","1/1/2005 0:00","Border Collie","Manhattan",10029,111,"188","MN34",8,13,29,"8/21/2016","7/26/2017"
70852,"CRAWFORD ","F","1/1/2005 0:00","Unknown","Manhattan",10021,108,"128","MN40",4,12,28,"5/6/2016","4/29/2017"
14604,"UNKNOWN","M","1/1/2015 0:00","Jack Russell Terrier","Brooklyn",11218,307,"500","BK40",39,9,21,"4/25/2015","4/25/2016"
421,"OSCAR","M","3/1/2012 0:00","Border Collie","Queens",11106,401,"39","QN68",26,12,12,"10/14/2014","10/14/2016"
15141,"MICKEY","M","4/1/2003 0:00","German Shepherd Dog","Queens",11378,405,"513","QN30",30,6,15,"4/29/2015","4/29/2017"
17105,"HIGGI","F","2/1/2010 0:00","Cotton De Tulear","Manhattan",10023,107,"153","MN14",6,10,27,"5/12/2015","5/17/2018"
64374,"JUDY","F","1/1/2011 0:00","Dachshund Smooth Coat","Bronx",10455,201,"73","BX34",17,15,29,"4/8/2016","5/30/2017"
75531,"SALLY ","F","2/1/2011 0:00","Bull Dog, English","Manhattan",10001,104,"93","MN13",3,10,27,"5/25/2016","5/25/2017"
111959,"TUCKER","M","11/1/2004 0:00","Vizsla","Brooklyn",11249,301,"549","BK73",33,7,26,"10/31/2016","10/31/2017"
65651,"JETER","M","1/1/2014 0:00","Golden Retriever","Manhattan",10017,106,"98","MN19",4,12,28,"4/15/2016","1/27/2017"
104149,"SAMMY","M","10/1/2012 0:00","Poodle, Miniature","Brooklyn",11205,302,"195","BK69",35,8,25,"9/21/2016","10/26/2017"
32359,"ROODBAARD","M","5/1/2013 0:00","Unknown","Manhattan",10007,101,"21","MN24",1,10,26,"9/9/2015","7/15/2016"
84154,"BEBA ","F","1/1/2005 0:00","Unknown","Brooklyn",11201,302,"15","BK38",35,8,25,"6/30/2016","3/30/2017"
103357,"OZZY","M","3/1/2009 0:00","Bernese Mountain Dog","Staten Island",10310,501,"125","SI22",49,11,24,"9/19/2016","10/14/2017"
1388,"MCCHIPS ","F","1/1/2004 0:00","Unknown","Queens",11427,411,"129102","QN42",23,6,11,"12/18/2014","1/30/2016"
64264,"GIBSON","M","5/1/2013 0:00","Beagle","Queens",11360,407,"99703","QN47",19,3,11,"4/8/2016","9/7/2016"
106096,"LOLA","F","4/1/2007 0:00","Labradoodle","Manhattan",10065,108,"122","MN40",4,12,28,"10/1/2016","10/1/2021"
96736,"CHEVY","M","1/1/2006 0:00","Chihuahua","Manhattan",10024,107,"167","MN12",6,10,29,"8/18/2016","9/26/2017"
25876,"DELILAH","F","8/1/2013 0:00","Shih Tzu","Manhattan",10029,111,"170","MN33",8,13,29,"7/21/2015","12/20/2016"
39652,"BIRDIE","F","8/1/2014 0:00","Beagle","Brooklyn",11249,301,"551","BK73",34,7,18,"11/15/2015","11/7/2016"
89515,"WINDSOR","M","12/1/2012 0:00","Newfoundland","Manhattan",10027,110,"215","MN03",9,13,30,"7/21/2016","7/21/2017"
75719,"CRANBERRY","F","7/1/2011 0:00","Chihuahua Crossbreed","Bronx",10458,206,"389","BX06",15,15,33,"5/26/2016","8/15/2017"
64424,"MIA","F","7/1/2008 0:00","Yorkshire Terrier","Bronx",10473,209,"20","BX09",18,15,32,"4/9/2016","11/30/2016"
89933,"FRANKLIN","M","5/1/2015 0:00","Cairn Terrier","Queens",11418,409,"132","QN54",29,5,10,"7/22/2016","7/22/2017"
64685,"HEDDA","F","12/1/2015 0:00","Boston Terrier","Manhattan",10009,103,"32","MN22",2,12,27,"4/10/2016","4/10/2017"
95592,"RUPERT ","M","2/1/2012 0:00","Labradoodle","Manhattan",10013,101,"39","MN24",1,10,26,"8/15/2016","9/28/2017"
58581,"DOTTIE","F","1/1/2015 0:00","Dachshund Smooth Coat","Manhattan",10024,107,"167","MN12",6,10,29,"3/14/2016","4/10/2017"
93103,"DEXTER","M","2/1/2009 0:00","Cocker Spaniel","Staten Island",10305,502,"11401","SI36",50,11,24,"8/5/2016","8/21/2017"
23315,"SHADOW ","F","1/1/2004 0:00","Unknown","Staten Island",10314,502,"18702","SI05",50,11,24,"6/30/2015","7/30/2016"
69993,"RANGER","M","10/1/2008 0:00","Havanese","Manhattan",10021,108,"128","MN40",4,12,28,"5/3/2016","6/22/2017"
118967,"LUCCHESE","M","10/1/2014 0:00","American Pit Bull Mix / Pit Bull Mix","Brooklyn",11209,310,"160","BK31",43,11,22,"12/10/2016","12/10/2017"
110315,"RANGER","F","8/1/2016 0:00","Shih Tzu Crossbreed","Staten Island",10306,502,"11202","SI45",50,11,24,"10/21/2016","10/21/2017"
17815,"KEILER ","M","9/1/2007 0:00","Australian Silky Terrier","Bronx",10461,210,"96","BX59",13,14,34,"5/18/2015","6/15/2016"
77543,"RICO ","M","1/1/2006 0:00","Unknown","Brooklyn",11237,301,"453","BK77",34,7,18,"6/3/2016","7/30/2017"
27924,"JOJO","M","1/1/2015 0:00","Yorkshire Terrier Crossbreed","Brooklyn",11215,307,"149","BK37",39,9,21,"8/5/2015","8/5/2020"
3600,"JETER ","M","1/1/2002 0:00","American Pit Bull Mix / Pit Bull Mix","Bronx",10456,204,"17701","BX14",16,15,32,"1/20/2015","1/20/2016"
116030,"ROCKY","M","4/1/2013 0:00","Yorkshire Terrier","Queens",11420,410,"84601","QN55",32,5,15,"11/21/2016","9/19/2017"
105985,"AULË ","M","10/1/2013 0:00","Bassett Hound","Queens",11104,402,"18102","QN31",26,14,12,"9/30/2016","11/11/2017"
59014,"BERTIE","M","1/1/2011 0:00","Unknown","Manhattan",10011,104,"81","MN13",3,12,27,"3/15/2016","3/2/2017"
37290,"LIONEL","M","5/1/2013 0:00","Golden Retriever","Manhattan",10009,103,"3002","MN22",2,12,26,"10/23/2015","9/17/2016"
98869,"PRECIOUS ","F","1/1/2012 0:00","Unknown","Brooklyn",11224,313,"340","BK21",47,8,23,"8/31/2016","10/16/2017"
29180,"GRACIE","F","5/1/2011 0:00","Wheaton Terrier","Manhattan",10028,108,"136","MN32",5,12,28,"8/13/2015","8/10/2016"
27437,"GOOSE","F","6/1/2009 0:00","Terrier mix","MANHATTAN",10040,112,"287","MN35",10,13,31,"8/1/2015","8/1/2016"
85535,"BUDDY","M","6/1/2007 0:00","Welsh Corgi, Pembroke","Queens",11367,NA,"NULL","NULL",NA,NA,NA,"7/7/2016","7/26/2017"
120373,"ENZO","M","9/1/2016 0:00","Pomeranian","Staten Island",10304,501,"21","SI37",49,11,23,"12/19/2016","12/19/2017"
863,"NACHO","M","5/1/2007 0:00","Chihuahua","Manhattan",10001,104,"99","MN13",3,10,27,"11/22/2014","11/17/2016"
67606,"EMMA","F","8/1/2012 0:00","Unknown","Manhattan",10065,108,"120","MN40",4,12,28,"4/23/2016","2/6/2018"
28606,"MAVE","F","7/1/2002 0:00","Yorkshire Terrier","Manhattan",10128,108,"154","MN32",5,12,29,"8/10/2015","9/28/2016"
57106,"SCOUT","F","1/1/2016 0:00","Shiba Inu","Manhattan",10282,101,"31703","MN25",1,10,26,"3/6/2016","3/6/2017"
106784,"TEDDY ","M","2/1/2005 0:00","Yorkshire Terrier","Manhattan",10019,104,"139","MN15",3,10,27,"10/4/2016","11/30/2017"
85312,"ANGELIKA","F","5/1/2008 0:00","Unknown","QUEENS",11377,403,"30902","QN28",22,14,13,"7/6/2016","8/7/2017"
57794,"DUSK","M","12/1/2012 0:00","Chow Chow","Manhattan",10128,108,"14802","MN40",4,12,28,"3/9/2016","3/14/2018"
12701,"APRIL","F","6/1/2008 0:00","Akita Crossbreed","Brooklyn",11236,318,"992","BK50",46,8,19,"4/13/2015","5/20/2017"
26397,"APOLLO","M","11/1/2007 0:00","Unknown","Manhattan",10065,108,"10602","MN31",5,12,28,"7/24/2015","8/27/2016"
6354,"BELLA","F","10/1/2014 0:00","Pug","Staten Island",10301,501,"17","SI37",49,11,23,"2/18/2015","2/18/2016"
6200,"KUZ'MA","M","1/1/2012 0:00","Welsh Corgi, Pembroke","Manhattan",10025,109,"199","MN09",7,10,30,"2/17/2015","3/25/2016"
69247,"DOLCE ","F","12/1/2008 0:00","Bichon Frise","Manhattan",10035,111,"198","MN34",9,13,30,"4/29/2016","5/21/2017"
13381,"LOLA","F","6/1/2014 0:00","Jack Russell Terrier","Manhattan",10011,104,"93","MN13",3,10,27,"4/18/2015","4/18/2018"
72888,"BANDIT","F","1/1/2007 0:00","Siberian Husky","Queens",11378,405,"49302","QN30",30,6,15,"5/13/2016","2/20/2017"
18565,"NICO","M","12/1/2011 0:00","Maltese","Bronx",10460,206,"36501","BX17",17,15,33,"5/25/2015","5/24/2017"
102218,"SQUIGGY","M","6/1/2007 0:00","Pug","Brooklyn",11222,301,"591","BK76",33,12,26,"9/15/2016","9/18/2017"
98918,"AMBER ","F","5/1/2016 0:00","Chihuahua Crossbreed","Bronx",10473,209,"20","BX09",18,15,32,"8/31/2016","8/31/2017"
25144,"ARIELA ","F","12/1/2013 0:00","American Pit Bull Terrier/Pit Bull","Staten Island",10302,501,"207","SI28",49,11,23,"7/14/2015","7/14/2016"
3896,"IDIK","M","10/1/2014 0:00","German Shepherd Dog","Staten Island",10305,502,"70","SI36",50,11,23,"1/23/2015","1/23/2016"
117910,"SWEETIE","F","6/1/2014 0:00","Rat Terrier","Brooklyn",11201,302,"31","BK68",35,8,25,"12/5/2016","11/22/2017"
113830,"PUDDING ","F","1/1/2000 0:00","German Shepherd Crossbreed","Manhattan",10019,104,"133","MN15",3,10,27,"11/10/2016","12/30/2017"
76352,"MILO","M","8/1/2010 0:00","Jack Russell Terrier","Brooklyn",11201,302,"15","BK38",33,8,25,"5/30/2016","5/30/2017"
66919,"PHAEDRA","F","6/1/2015 0:00","Unknown","Queens",11362,411,"152902","QN45",23,3,11,"4/20/2016","4/20/2017"
67851,"JAMIE","F","11/1/2007 0:00","Poodle, Miniature","Manhattan",10024,107,"171","MN12",6,10,31,"4/25/2016","6/18/2017"
18833,"FRANKENSTEIN","M","8/1/2005 0:00","Miniature Pinscher","Brooklyn",11215,306,"133","BK37",39,7,25,"5/28/2015","6/12/2016"
11424,"OSCAR","M","11/1/2014 0:00","Rat Terrier","Manhattan",10012,102,"43","MN24",1,7,26,"4/3/2015","4/3/2020"
32589,"GABIOTA","F","9/1/2007 0:00","Labrador Retriever","Bronx",10459,202,"131","BX33",17,15,32,"9/11/2015","9/11/2016"
80893,"TOBY","M","12/1/2012 0:00","Unknown","Manhattan",10028,108,"14402","MN32",5,12,28,"6/16/2016","7/18/2017"
60617,"ELLA","F","2/1/2015 0:00","Havanese","Manhattan",10020,105,"96","MN17",4,12,27,"3/22/2016","5/8/2017"
85264,"TIFA","F","4/1/2007 0:00","Boston Terrier","Brooklyn",11221,304,"393","BK78",34,7,18,"7/6/2016","11/1/2021"
106152,"LUNA","F","8/1/2015 0:00","Chihuahua Crossbreed","Manhattan",10035,111,"194","MN34",8,13,30,"10/1/2016","10/1/2017"
90819,"AJAX","M","7/1/2012 0:00","Greyhound","Manhattan",10065,108,"10602","MN31",5,12,28,"7/26/2016","7/26/2017"
17310,"STOUT","M","2/1/2008 0:00","Bull Terrier","Brooklyn",11225,309,"804","BK60",40,9,20,"5/14/2015","5/14/2016"
9182,"KEIRA","F","1/1/2014 0:00","Chihuahua","Brooklyn",11211,301,"501","BK90",34,12,18,"3/16/2015","3/16/2020"
120206,"LILY","F","5/1/2013 0:00","Shih Tzu","Manhattan",10014,102,"67","MN23",3,10,27,"12/18/2016","12/18/2017"
111663,"COOPER","M","7/1/2016 0:00","Labrador Retriever","Manhattan",10021,108,"124","MN31",5,12,28,"10/29/2016","10/29/2017"
69125,"PLAYA","M","2/1/2010 0:00","Havanese","Manhattan",10128,108,"16001","MN40",4,12,28,"4/29/2016","6/8/2017"
1980,"MOOKIE","M","4/1/2007 0:00","Labrador Retriever Crossbreed","Bronx",10472,209,"76","BX08",18,15,32,"1/2/2015","1/18/2016"
14423,"KEVIN","M","8/1/2013 0:00","Pomeranian","Manhattan",10128,108,"15801","MN40",5,12,28,"4/24/2015","4/24/2016"
37328,"WEASLEY","M","6/1/2015 0:00","Coton de Tulear","Manhattan",10003,102,"59","MN23",2,12,27,"10/23/2015","10/23/2016"
91012,"LARK","F","6/1/2011 0:00","Australian Shepherd","Brooklyn",11231,306,"53","BK33",38,10,25,"7/27/2016","9/3/2017"
109589,"BRANDY","F","1/1/2007 0:00","Unknown","Manhattan",10025,107,"179","MN12",6,10,31,"10/19/2016","9/21/2017"
487,"LUNA","F","3/1/2010 0:00","Unknown","Brooklyn",11215,306,"135","BK37",39,7,20,"10/21/2014","9/2/2019"
103952,"LOVE ","M","7/1/2011 0:00","Unknown","Brooklyn",11209,310,"36","BK31",43,11,22,"9/21/2016","11/22/2017"
928,"YOGI","M","10/1/2005 0:00","Pomeranian","Bronx",10463,208,"29301","BX29",11,16,34,"11/29/2014","10/22/2017"
35621,"PIP","M","11/1/2003 0:00","Maltese","Queens",11379,405,"65702","QN21",30,6,15,"10/10/2015","10/5/2016"
29760,"ROCKY","M","5/1/2014 0:00","Chihuahua","Manhattan",10002,103,"202","MN28",2,7,26,"8/17/2015","8/13/2016"
91339,"PEBBLES ","F","1/1/2006 0:00","Lhasa Apso","Queens",11417,410,"58","QN56",32,8,15,"7/28/2016","7/30/2017"
19534,"MAX","M","6/1/2006 0:00","Unknown","Brooklyn",11211,301,"515","BK73",33,12,26,"6/2/2015","5/15/2017"
44510,"CHUCHO ","M","8/1/2015 0:00","French Bulldog","Queens",11379,405,"621","QN21",30,6,15,"12/23/2015","12/23/2016"
72840,"LEYLANI","F","8/1/2002 0:00","American Pit Bull Terrier/Pit Bull","Manhattan",10024,107,"173","MN12",6,10,30,"5/13/2016","5/13/2017"
71273,"OZZY","M","6/1/2014 0:00","Miniature Schnauzer","Manhattan",10024,107,"175","MN12",6,10,31,"5/9/2016","6/29/2017"
106844,"SUNNY ","M","11/1/2013 0:00","Pomeranian","Manhattan",10018,104,"115","MN15",3,10,31,"10/4/2016","12/1/2017"
22252,"CODY ","M","1/1/2004 0:00","Labrador Retriever","Staten Island",10314,501,"30301","SI12",49,11,23,"6/22/2015","7/30/2016"
21350,"LUCY ","F","1/1/2003 0:00","Poodle, Standard","Staten Island",10305,502,"74","SI14",50,11,23,"6/16/2015","6/29/2016"
20330,"NAME NOT PROVIDED","M","2/1/2015 0:00","American Staffordshire Terrier ","Queens",11354,407,"871","QN22",20,6,11,"6/8/2015","6/8/2016"
24800,"BUDDY","M","3/1/2014 0:00","Shih Tzu","Brooklyn",11218,312,"496","BK41",39,10,21,"7/11/2015","7/11/2016"
21873,"PISTACHIO","M","12/1/2011 0:00","Greyhound","Manhattan",10014,102,"79","MN23",3,10,27,"6/19/2015","6/26/2016"
4636,"VINCENZO","M","7/1/2014 0:00","Border Terrier","Queens",11377,402,"18502","QN31",26,14,12,"2/1/2015","2/1/2016"
80688,"MAX","M","7/1/2011 0:00","Maltese","Queens",11418,409,"130","QN54",32,6,15,"6/15/2016","4/25/2017"
38404,"SWEETIE","F","2/1/2014 0:00","Beagle Crossbreed","Bronx",10461,210,"26602","BX10",13,14,34,"11/4/2015","11/4/2016"
63371,"HUDSON","M","1/1/2007 0:00","Unknown","Staten Island",10306,502,"134","SI45",50,11,24,"4/5/2016","5/13/2018"
82758,"ARGOS","M","4/1/2005 0:00","Greyhound","Manhattan",10025,107,"195","MN09",7,10,31,"6/25/2016","7/23/2017"
85412,"MURPHY","M","3/1/2008 0:00","American Pit Bull Terrier/Pit Bull","Manhattan",10025,107,"187","MN12",6,10,31,"7/6/2016","6/19/2017"
38897,"DAISY","F","7/1/2014 0:00","Coonhound, Treeing Walker","Manhattan",10027,110,"200","MN11",9,13,30,"11/8/2015","11/26/2016"
13718,"BEAU","M","11/1/2013 0:00","Rottweiler","Queens",11379,405,"619","QN21",30,6,15,"4/20/2015","5/14/2016"
29101,"ZACK","M","10/1/2007 0:00","Rottweiler","Brooklyn",11208,305,"1220","BK82",42,8,19,"8/13/2015","8/31/2016"
98248,"KALE","M","8/1/2012 0:00","Pomeranian Crossbreed","Bronx",10461,211,"296","BX49",13,14,34,"8/27/2016","8/27/2017"
69932,"MAYA","F","11/1/2012 0:00","Chihuahua","Bronx",10468,205,"239","BX40",14,15,33,"5/2/2016","4/19/2018"
5054,"PERRY","M","1/1/2006 0:00","Cavalier King Charles Spaniel","Staten Island",10310,501,"121","SI35",49,11,24,"2/5/2015","3/29/2016"
111695,"SUNFLOWER","F","11/1/2008 0:00","Shih Tzu","Brooklyn",11215,306,"157","BK37",39,9,20,"10/29/2016","10/29/2017"
6287,"BENJI","M","4/1/2009 0:00","Puggle","Brooklyn",11204,311,"434","BK29",44,10,17,"2/17/2015","2/17/2018"
81240,"ALIX","M","11/1/2006 0:00","Pomeranian Crossbreed","Manhattan",10025,107,"189","MN12",7,13,30,"6/17/2016","6/17/2017"
50067,"TROOPER","M","12/1/2005 0:00","Unknown","Queens",11423,412,"480","QN61",23,5,14,"1/29/2016","3/1/2017"
34138,"MIA","F","8/1/2006 0:00","Chihuahua","Manhattan",10006,101,"13","MN25",1,10,26,"9/25/2015","6/26/2017"
44762,"LINDSAY","F","8/1/2015 0:00","Shih Tzu Crossbreed","Queens",11364,411,"129104","QN42",23,6,11,"12/27/2015","12/27/2016"
39968,"TOBY","M","11/1/2012 0:00","Bichon Frise","Bronx",10463,208,"289","BX29",11,13,34,"11/17/2015","11/17/2016"
70173,"DAKU ","M","10/1/2015 0:00","Tibetan Terrier","Manhattan",10010,106,"60","MN50",4,12,27,"5/4/2016","5/4/2017"
109653,"FIFI","F","4/1/2011 0:00","Chihuahua","Brooklyn",11212,316,"908","BK81",41,8,20,"10/19/2016","11/27/2017"
30151,"UNKNOWN","F","8/1/2011 0:00","Miniature Pinscher","Brooklyn",11235,315,"590","BK17",48,9,17,"8/20/2015","8/20/2016"
46329,"ROCKY","M","3/1/2011 0:00","Maltese","Manhattan",10009,106,"44","MN50",4,12,27,"1/8/2016","1/8/2019"
108933,"ROCCO ","M","8/1/2012 0:00","Miniature Pinscher","Brooklyn",11213,308,"339","BK61",35,9,25,"10/16/2016","11/4/2018"
85174,"MELO","M","2/1/2008 0:00","American Pit Bull Mix / Pit Bull Mix","Brooklyn",11210,317,"780","BK91",45,9,21,"7/6/2016","7/6/2017"
1427,"CHANEL ","F","5/1/2010 0:00","Pomeranian","Brooklyn",11235,NA,"NULL","NULL",NA,NA,NA,"12/19/2014","1/5/2016"
70909,"TAMY","F","6/1/2013 0:00","Chihuahua","Queens",11372,403,"275","QN28",25,14,13,"5/6/2016","5/6/2017"
121076,"ALLEY ","F","1/1/2007 0:00","Jack Russell Terrier","Manhattan",10027,109,"211","MN09",7,13,30,"12/24/2016","8/13/2018"
114686,"RILEY ","M","11/1/2005 0:00","Unknown","Queens",11414,410,"6202","QN57",32,8,15,"11/15/2016","12/30/2017"
57303,"CHARLIE","F","3/1/2013 0:00","Shih Tzu Crossbreed","Manhattan",10024,107,"167","MN12",6,10,31,"3/7/2016","3/7/2017"
876,"SHULA","F","8/1/2014 0:00","German Shepherd Dog","Brooklyn",11209,310,"58","BK31",43,11,22,"11/24/2014","11/24/2016"
7918,"MASON","M","10/1/2010 0:00","Yorkshire Terrier","Bronx",10455,202,"85","BX33",8,15,32,"3/3/2015","3/4/2016"
47457,"BUDDY ","M","1/1/2002 0:00","Bichon Frise","Staten Island",10312,503,"17009","SI48",51,11,24,"1/14/2016","1/30/2017"
26779,"RAINNEY","F","6/1/2013 0:00","Chihuahua Crossbreed","Queens",11432,408,"1267","QN38",24,6,14,"7/28/2015","7/28/2016"
2346,"KIRBY ","M","8/1/2014 0:00","Boston Terrier","Manhattan",10009,106,"44","MN50",4,12,27,"1/6/2015","1/6/2016"
95691,"BAS","M","3/1/2013 0:00","Cane Corso","Queens",11370,401,"317","QN72",22,14,13,"8/15/2016","8/27/2017"
120577,"ARCHIE ","M","1/1/2003 0:00","Shih Tzu","Queens",11356,407,"929","QN23",19,14,11,"12/20/2016","8/7/2017"
57606,"BUDDY","M","11/1/2012 0:00","Boxer","Staten Island",10310,501,"97","SI22",49,11,23,"3/8/2016","1/21/2019"
70961,"RAMBLER","M","9/1/2008 0:00","Cocker Spaniel","Brooklyn",11218,307,"504","BK40",39,9,21,"5/7/2016","5/7/2017"
22439,"CHLOÉ ","F","6/1/2014 0:00","Poodle, Miniature","Manhattan",10029,111,"180","MN34",8,13,29,"6/23/2015","6/23/2016"
98197,"LUCY","F","1/1/2012 0:00","Basset Hound","Staten Island",10312,503,"17008","SI48",51,11,24,"8/27/2016","8/27/2018"
17996,"UNKNOWN","M","2/1/2015 0:00","Havanese","Queens",11023,NA,"NULL","NULL",NA,NA,NA,"5/19/2015","5/19/2016"
58295,"MARCEL","M","4/1/2014 0:00","Dachshund, Wirehaired","Manhattan",10028,108,"138","MN32",5,12,28,"3/12/2016","3/12/2019"
41822,"KATIE","F","1/1/2005 0:00","Unknown","Brooklyn",11232,307,"143","BK37",38,7,20,"12/3/2015","11/29/2016"
92625,"NENE","M","7/1/2008 0:00","Maltese","Bronx",10455,201,"31","BX39",8,15,29,"8/4/2016","9/18/2017"
87956,"MAXI","F","4/1/2010 0:00","Chihuahua","New York",11365,411,"1417","QN48",20,6,11,"7/15/2016","8/14/2017"
87124,"VANILLA","M","12/1/2015 0:00","Goldendoodle","Manhattan",10009,106,"44","MN50",4,12,27,"7/12/2016","7/12/2018"
20515,"LUCY","F","12/1/2001 0:00","Yorkshire Terrier","Brooklyn",11201,302,"21","BK38",33,7,26,"6/10/2015","6/19/2017"
106008,"WAIF","M","7/1/2013 0:00","Pekingese","Manhattan",10024,107,"175","MN12",6,10,31,"10/1/2016","10/14/2017"
80802,"HANGBOK","M","8/1/2014 0:00","Shih Tzu","Queens",11364,411,"1367","QN42",23,6,16,"6/16/2016","6/16/2017"
14805,"SATISHA","F","1/1/2015 0:00","Wheaton Terrier","Bronx",10467,211,"340","BX07",13,14,36,"4/27/2015","4/27/2016"
